timestamp,sizeN,M,approach,mean_elapsed_s,std_elapsed_s,formula,all_means
2025-12-02 15:34:30,5000,50,online,4.308659,0.055983,"(x[t]<0.5) and (x[t]>-0.5)","[4.4625485;4.39309333333333;4.25858183333333;4.20400279166667;4.17262208333333;4.20868925;4.22015395833333;4.206442875;4.24489541666667;4.22594929166667;4.246388625;4.26988729166667;4.26811466666667;4.2803105;4.27604025;4.25960325;4.282028875;4.28135616666667;4.27656716666667;4.305288125;4.288669625;4.28660841666667;4.31705641666667;4.294359375;4.32664870833333;4.346076625;4.30862041666667;4.33060529166667;4.32698679166667;4.32284441666667;4.33650166666667;4.319867125;4.325874875;4.339749;4.33680166666667;4.340985;4.35318983333333;4.33540929166667;4.35986091666667;4.37129283333333;4.33724533333333;4.35186679166667;4.36688445833333;4.33217229166667;4.35531575;4.3632815;4.33550016666667;4.35835258333333;4.37170754166667;4.35005629166667]"
2025-12-02 15:42:00,10000,50,online,9.003143,0.161405,"(x[t]<0.5) and (x[t]>-0.5)","[8.85552295833333;8.92579354166667;9.081720875;9.77125208333333;8.89949670833333;8.88568366666667;8.880014125;8.89250541666667;9.48737233333333;9.34258225;9.3392715;9.00797154166667;8.98141566666667;9.10295166666667;8.97300329166667;8.94688791666667;8.97166583333333;8.94894595833333;8.93985;8.96254033333333;8.93980229166667;8.937262625;8.947327625;8.94728033333333;8.93768270833333;8.93032008333333;8.934106;8.96304275;8.950741375;8.94187958333333;8.96136179166667;8.94094591666667;8.958463375;8.95214854166667;8.95275025;8.97588129166667;8.951342125;8.94867920833333;8.96377941666667;8.950939625;8.96993475;9.06158554166667;8.9756825;8.931929;8.93569508333333;8.96901183333333;8.92853729166667;8.9574815;9.09854108333333;9.14658945833333]"
2025-12-02 15:56:52,20000,50,online,17.834099,0.095183,"(x[t]<0.5) and (x[t]>-0.5)","[18.2573304583333;18.047437625;17.9484772916667;17.912049375;17.849704375;17.889315625;17.8766324166667;17.8274463333333;17.9936028333333;18.02970675;17.937623;17.9188431666667;17.9007165;17.8732217916667;17.80657525;17.7850005;17.813324625;17.790274625;17.7785411666667;17.7842270416667;17.75349025;17.8038068333333;17.7752009583333;17.7657315;17.77988025;17.7787300416667;17.783396125;17.7589000833333;17.784869625;17.8298929166667;17.8107765416667;17.7861956666667;17.77161875;17.7916077916667;17.9200946666667;17.7909367083333;17.78602175;17.7934362083333;17.8697744166667;17.8186375416667;17.7501927916667;17.7568849583333;17.80625825;17.7929285833333;17.7825438333333;17.7728042916667;17.762922375;17.747541125;17.7641772083333;17.79566025]"
2025-12-02 16:00:42,5000,50,classic,4.597909,0.022448,"(x[t]<0.5) and (x[t]>-0.5)","[4.739316375;4.599433125;4.58401458333333;4.59809541666667;4.59797508333333;4.59058995833333;4.604329125;4.58324745833333;4.606374625;4.60609366666667;4.60962375;4.600921625;4.602656625;4.59769616666667;4.58936166666667;4.578419375;4.58456975;4.59117233333333;4.588546375;4.59842129166667;4.60149591666667;4.58279395833333;4.58119483333333;4.587110625;4.59749320833333;4.59994458333333;4.59558066666667;4.594172875;4.58999316666667;4.57868008333333;4.58299004166667;4.59779516666667;4.58865254166667;4.59132020833333;4.59494391666667;4.58588275;4.61085020833333;4.60754566666667;4.59600425;4.60660004166667;4.57948466666667;4.59960020833333;4.59140916666667;4.58604079166667;4.59590495833333;4.61427745833333;4.59777608333333;4.60800858333333;4.588928375;4.61210095833333]"
2025-12-02 16:08:23,10000,50,classic,9.224145,0.021845,"(x[t]<0.5) and (x[t]>-0.5)","[9.25100058333333;9.23686604166667;9.24487725;9.20600858333333;9.19773816666667;9.19165391666667;9.207957625;9.25687708333333;9.29267333333333;9.23662645833333;9.20807508333333;9.22630220833333;9.22530445833333;9.294126875;9.28297016666667;9.23577970833333;9.229099125;9.21389904166667;9.23439154166667;9.22019745833333;9.22131145833333;9.231328625;9.21212108333333;9.22213291666667;9.21489325;9.20937625;9.23262120833333;9.21303125;9.229362;9.21139925;9.22893183333333;9.20972779166667;9.21133429166667;9.24177616666667;9.22274575;9.216745375;9.20650266666667;9.21533116666667;9.220112875;9.220024625;9.22089179166667;9.21954908333333;9.212224125;9.20479879166667;9.21509570833333;9.22231254166667;9.2205365;9.19017866666667;9.19392058333333;9.224523125]"
2025-12-02 16:23:46,20000,50,classic,18.460317,0.041970,"(x[t]<0.5) and (x[t]>-0.5)","[18.5394263333333;18.4299823333333;18.4458393333333;18.4235047083333;18.4539114583333;18.416435875;18.409854;18.4321610416667;18.4451005;18.4255987083333;18.431755625;18.4560889583333;18.4122602916667;18.4589317083333;18.4176676666667;18.4572732916667;18.5253102916667;18.5015272916667;18.4196310416667;18.4536895;18.455486625;18.425130625;18.419337375;18.435055625;18.4247746666667;18.4483415;18.440800375;18.4938844166667;18.4135393333333;18.446867375;18.4226544166667;18.4324985416667;18.4435234166667;18.468089375;18.4412537916667;18.4238121666667;18.4601040416667;18.4905066666667;18.4383137916667;18.4525316666667;18.4838895416667;18.5347920416667;18.4966115416667;18.4826095416667;18.5006834583333;18.5299770416667;18.5220110416667;18.557105625;18.492634125;18.583062625]"
2025-12-02 16:24:57,5000,50,thom,1.410452,0.021248,"(x[t]<0.5) and (x[t]>-0.5)","[1.542774875;1.41692425;1.41377495833333;1.41334370833333;1.40532366666667;1.39615958333333;1.40050675;1.40991666666667;1.41907379166667;1.40698345833333;1.4218675;1.41674225;1.41499920833333;1.394617125;1.40512170833333;1.407980625;1.40565245833333;1.39450679166667;1.42428304166667;1.43390854166667;1.42631745833333;1.402704625;1.395117125;1.40510291666667;1.40033904166667;1.40172870833333;1.41253225;1.41527633333333;1.41368366666667;1.41997875;1.392633;1.39943204166667;1.40498125;1.40596520833333;1.402339875;1.40700116666667;1.41253358333333;1.41123275;1.40251283333333;1.40474079166667;1.41057091666667;1.404582125;1.40193183333333;1.39736870833333;1.39908145833333;1.42185175;1.414967625;1.394937875;1.3979445;1.39875670833333]"
2025-12-02 16:27:18,10000,50,thom,2.826218,0.024693,"(x[t]<0.5) and (x[t]>-0.5)","[2.82392908333333;2.84096316666667;2.81602754166667;2.80809258333333;2.82418320833333;2.808053125;2.8240035;2.79300675;2.79014470833333;2.7942995;2.816154;2.808615625;2.810030625;2.81021308333333;2.83942708333333;2.83050683333333;2.818647125;2.80664629166667;2.831762375;2.8409905;2.82558495833333;2.83533095833333;2.85887358333333;2.839546;2.82495783333333;2.83525033333333;2.80787770833333;2.859632125;2.86192033333333;2.81557316666667;2.82727854166667;2.83901483333333;2.81570104166667;2.840778125;2.840821375;2.85198433333333;2.80451766666667;2.81812391666667;2.82968575;2.84094666666667;2.85208204166667;2.8029625;2.808169375;2.82318575;2.7986285;2.81331916666667;2.79514420833333;2.84775983333333;2.94160291666667;2.818943]"
2025-12-02 16:32:00,20000,50,thom,5.647870,0.030424,"(x[t]<0.5) and (x[t]>-0.5)","[5.65919895833333;5.6253495;5.65147504166667;5.62234504166667;5.66484258333333;5.710378875;5.66607391666667;5.6346405;5.638503;5.66062066666667;5.65751520833333;5.63500033333333;5.630764;5.6066345;5.63501504166667;5.63192141666667;5.63127533333333;5.6963065;5.75675666666667;5.73265533333333;5.63381395833333;5.69420545833333;5.63001404166667;5.658435625;5.64794704166667;5.66340558333333;5.626663;5.64199504166667;5.6317275;5.66865091666667;5.65738429166667;5.65306691666667;5.67071066666667;5.66145279166667;5.65361358333333;5.607493375;5.6559725;5.60517258333333;5.66842070833333;5.60908266666667;5.62286175;5.60623095833333;5.63276316666667;5.63151725;5.61983133333333;5.63007333333333;5.643249;5.64357379166667;5.64536925;5.63154991666667]"
2025-12-02 16:35:44,5000,50,online,4.466939,0.011609,"(x[t]<0.5) or (x[t]>-0.5)","[4.51681466666667;4.475585125;4.46839579166667;4.46995008333333;4.47666066666667;4.464119;4.48328658333333;4.46930925;4.462800125;4.46885941666667;4.47075554166667;4.480328125;4.46265933333333;4.46491741666667;4.45622283333333;4.46447079166667;4.46112341666667;4.45957520833333;4.47840529166667;4.46077675;4.45068141666667;4.47646908333333;4.45827679166667;4.466676125;4.46435145833333;4.45739441666667;4.45725725;4.4557835;4.45659654166667;4.46583008333333;4.454755875;4.45527329166667;4.46361504166667;4.45622316666667;4.46216975;4.46143683333333;4.46339670833333;4.4780535;4.48458941666667;4.46245816666667;4.47952579166667;4.47096058333333;4.46796383333333;4.474659375;4.47647420833333;4.460793375;4.4751605;4.45120675;4.445747625;4.47814133333333]"
