formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
1,"G[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004514066660002527,2.2570333300012635e-07,0.22570333300012635,1.0
2,"G[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00644437837999817,3.222189189999085e-07,0.3222189189999085,100.0
3,"G[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007410775839996404,3.705387919998202e-07,0.3705387919998202,200.0
4,"G[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0080173024599992,4.0086512299996004e-07,0.40086512299996,300.0
5,"G[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008456320860000232,4.228160430000116e-07,0.42281604300001163,400.0
6,"G[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00893765922000398,4.46882961000199e-07,0.446882961000199,500.0
7,"G[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00928675081999927,4.643375409999635e-07,0.4643375409999635,600.0
8,"G[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009697274179998203,4.848637089999101e-07,0.4848637089999101,700.0
9,"G[0,800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009758579180005427,4.879289590002714e-07,0.4879289590002714,800.0
10,"G[0,900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009791342440005337,4.895671220002669e-07,0.4895671220002669,900.0
11,"G[0,1000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0097776707599985,4.88883537999925e-07,0.488883537999925,1000.0
12,"G[0,1100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009945993319998934,4.972996659999467e-07,0.4972996659999467,1100.0
13,"G[0,1200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009953462459993716,4.976731229996858e-07,0.4976731229996858,1200.0
14,"G[0,1300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00989767994000431,4.948839970002155e-07,0.49488399700021546,1300.0
15,"G[0,1400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009853478320001158,4.926739160000579e-07,0.4926739160000579,1400.0
16,"G[0,1500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00999879254000689,4.999396270003445e-07,0.49993962700034444,1500.0
17,"G[0,1600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009561800860001312,4.780900430000656e-07,0.4780900430000656,1600.0
18,"G[0,1700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009580883339997398,4.790441669998699e-07,0.4790441669998699,1700.0
19,"G[0,1800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009602049140003146,4.801024570001573e-07,0.4801024570001573,1800.0
20,"G[0,1900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00957251001999566,4.786255009997831e-07,0.47862550099978307,1900.0
21,"G[0,2000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009587283360001492,4.793641680000746e-07,0.4793641680000746,2000.0
22,"G[0,2100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00965857084000163,4.829285420000816e-07,0.48292854200008156,2100.0
23,"G[0,2200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009574232499996924,4.787116249998463e-07,0.47871162499984626,2200.0
24,"G[0,2300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009551402519998647,4.775701259999324e-07,0.47757012599993237,2300.0
25,"G[0,2400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009715299100005268,4.857649550002634e-07,0.48576495500026345,2400.0
26,"G[0,2500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009577103420000413,4.788551710000206e-07,0.4788551710000206,2500.0
27,"G[0,2600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009660757459998877,4.830378729999438e-07,0.48303787299994383,2600.0
28,"G[0,2700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009852530819999856,4.926265409999928e-07,0.49262654099999276,2700.0
29,"G[0,2800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0097866932799991,4.89334663999955e-07,0.48933466399995496,2800.0
30,"G[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009870811640003013,4.935405820001506e-07,0.4935405820001506,2900.0
31,"G[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009998841680002216,4.999420840001108e-07,0.4999420840001108,3000.0
32,"G[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.01007809504000761,5.039047520003806e-07,0.5039047520003805,3100.0
33,"G[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00992271332000314,4.96135666000157e-07,0.496135666000157,3200.0
34,"G[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009941069119995517,4.970534559997759e-07,0.49705345599977585,3300.0
35,"G[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.010140813259998821,5.07040662999941e-07,0.507040662999941,3400.0
36,"G[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.01037734346000093,5.188671730000465e-07,0.5188671730000466,3500.0
37,"G[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.010117731679997632,5.058865839998817e-07,0.5058865839998816,3600.0
38,"G[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009823196679997181,4.91159833999859e-07,0.491159833999859,3700.0
39,"G[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009757084119997898,4.878542059998949e-07,0.4878542059998949,3800.0
40,"G[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009546113300004891,4.773056650002446e-07,0.47730566500024457,3900.0
41,"G[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009852128979997588,4.926064489998795e-07,0.49260644899987943,4000.0
42,"G[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009675858360002393,4.837929180001197e-07,0.4837929180001197,4100.0
43,"G[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009659440820006466,4.829720410003232e-07,0.4829720410003232,4200.0
44,"G[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009574563399997942,4.787281699998971e-07,0.4787281699998971,4300.0
45,"G[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009674108459998934,4.837054229999466e-07,0.4837054229999466,4400.0
46,"G[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009717089080004371,4.858544540002186e-07,0.4858544540002186,4500.0
47,"G[0,4600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009686810759997116,4.843405379998558e-07,0.4843405379998558,4600.0
48,"G[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009914083359996084,4.957041679998042e-07,0.49570416799980416,4700.0
49,"G[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009839077499998438,4.91953874999922e-07,0.49195387499992194,4800.0
50,"G[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00985184080000181,4.925920400000905e-07,0.4925920400000905,4900.0
51,"G[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009934596760006116,4.967298380003057e-07,0.49672983800030573,5000.0
52,"F[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0045270849799999265,2.2635424899999631e-07,0.22635424899999632,1.0
53,"F[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0067401674400002776,3.3700837200001387e-07,0.3370083720000139,100.0
54,"F[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007467269939998005,3.7336349699990024e-07,0.37336349699990024,200.0
55,"F[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008019681620000938,4.009840810000469e-07,0.4009840810000469,300.0
56,"F[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008126415839997207,4.0632079199986036e-07,0.4063207919998604,400.0
57,"F[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008318997500001615,4.159498750000807e-07,0.41594987500008074,500.0
58,"F[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008504081700002643,4.2520408500013215e-07,0.4252040850001322,600.0
59,"F[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008560737459999928,4.280368729999964e-07,0.4280368729999964,700.0
60,"F[0,800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008434366660002296,4.217183330001148e-07,0.4217183330001148,800.0
61,"F[0,900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008630134319997752,4.315067159998876e-07,0.4315067159998876,900.0
62,"F[0,1000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00848819996000998,4.24409998000499e-07,0.424409998000499,1000.0
63,"F[0,1100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008627479240001321,4.3137396200006607e-07,0.43137396200006606,1100.0
64,"F[0,1200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008608978439999646,4.304489219999823e-07,0.4304489219999823,1200.0
65,"F[0,1300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008859073299995544,4.429536649997772e-07,0.44295366499977723,1300.0
66,"F[0,1400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008672178400007623,4.336089200003812e-07,0.4336089200003812,1400.0
67,"F[0,1500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008687182479998229,4.343591239999114e-07,0.4343591239999114,1500.0
68,"F[0,1600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008697276679995411,4.3486383399977056e-07,0.4348638339997706,1600.0
69,"F[0,1700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008682508259996667,4.341254129998333e-07,0.4341254129998333,1700.0
70,"F[0,1800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008800592539995478,4.400296269997739e-07,0.44002962699977394,1800.0
71,"F[0,1900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008749524939998992,4.3747624699994956e-07,0.4374762469999496,1900.0
72,"F[0,2000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008896079180000243,4.4480395900001215e-07,0.44480395900001213,2000.0
73,"F[0,2100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008889368259999628,4.444684129999814e-07,0.4444684129999814,2100.0
74,"F[0,2200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009044940899999574,4.5224704499997874e-07,0.45224704499997875,2200.0
75,"F[0,2300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008933867419995068,4.466933709997534e-07,0.44669337099975337,2300.0
76,"F[0,2400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008930717479996702,4.465358739998351e-07,0.4465358739998351,2400.0
77,"F[0,2500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008909301639994283,4.4546508199971416e-07,0.4454650819997142,2500.0
78,"F[0,2600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008902293380000401,4.4511466900002005e-07,0.44511466900002006,2600.0
79,"F[0,2700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009078870879999385,4.5394354399996923e-07,0.4539435439999692,2700.0
80,"F[0,2800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008991544119998024,4.495772059999012e-07,0.4495772059999012,2800.0
81,"F[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009092812499995944,4.5464062499979723e-07,0.45464062499979724,2900.0
82,"F[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00890203995999741,4.451019979998705e-07,0.4451019979998705,3000.0
83,"F[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009042340040000454,4.521170020000227e-07,0.4521170020000227,3100.0
84,"F[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008847088359998452,4.4235441799992263e-07,0.44235441799992264,3200.0
85,"F[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008922482500001933,4.461241250000966e-07,0.4461241250000966,3300.0
86,"F[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008891553360007265,4.4457766800036326e-07,0.44457766800036325,3400.0
87,"F[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008766100820004112,4.383050410002056e-07,0.43830504100020556,3500.0
88,"F[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008606011599998737,4.303005799999368e-07,0.4303005799999368,3600.0
89,"F[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008651240759999155,4.3256203799995774e-07,0.43256203799995774,3700.0
90,"F[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008629000739999811,4.3145003699999057e-07,0.43145003699999057,3800.0
91,"F[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008717690699999139,4.3588453499995696e-07,0.43588453499995694,3900.0
92,"F[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008809233380003435,4.404616690001717e-07,0.4404616690001717,4000.0
93,"F[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009009066640003312,4.504533320001656e-07,0.45045333200016563,4100.0
94,"F[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008840264980001393,4.420132490000697e-07,0.44201324900006966,4200.0
95,"F[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008754627420005363,4.377313710002681e-07,0.4377313710002681,4300.0
96,"F[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0088131157600003,4.4065578800001503e-07,0.44065578800001504,4400.0
97,"F[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008769066780001823,4.384533390000911e-07,0.4384533390000911,4500.0
98,"F[0,4600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008762901779999766,4.381450889999883e-07,0.43814508899998833,4600.0
99,"F[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008900236679997987,4.450118339998994e-07,0.4450118339998994,4700.0
100,"F[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008809444840003379,4.4047224200016894e-07,0.44047224200016893,4800.0
101,"F[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008802024199998187,4.4010120999990934e-07,0.4401012099999093,4900.0
102,"F[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009043855899998334,4.5219279499991673e-07,0.4521927949999167,5000.0
103,"(x < 0.0) U[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008010038339996299,4.0050191699981496e-07,0.40050191699981497,1.0
104,"(x < 0.0) U[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.03551020258000222,1.775510129000111e-06,1.775510129000111,100.0
105,"(x < 0.0) U[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0568556175200024,2.84278087600012e-06,2.84278087600012,200.0
106,"(x < 0.0) U[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.07776570428000242,3.888285214000121e-06,3.888285214000121,300.0
107,"(x < 0.0) U[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.09631648740000287,4.815824370000144e-06,4.8158243700001435,400.0
108,"(x < 0.0) U[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.11539431576000311,5.769715788000156e-06,5.769715788000156,500.0
109,"(x < 0.0) U[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.13553690494000079,6.776845247000039e-06,6.77684524700004,600.0
110,"(x < 0.0) U[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.15507406510000465,7.753703255000233e-06,7.753703255000232,700.0
