id,formula
1,(x < 0.5) ∧ (x > -0.5)
2,(x < 0.5) v (x > -0.5)
3,¬(x < 0.5)
4,"G[0, 10](x < 0.5)"
5,"G[0, 100](x < 0.5)"
6,"G[0, 1000](x < 0.5)"
7,"F[0, 10](x < 0.5)"
8,"F[0, 100](x < 0.5)"
9,"F[0, 1000](x < 0.5)"
10,"(x < 0.5) U[0, 10] (x > -0.5)"
11,"(x < 0.5) U[0, 100] (x > -0.5)"
12,"(x < 0.5) U[0, 1000] (x > -0.5)"
13,"(F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0))))"
14,"(F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0))))))"
15,"(F[0, 10]((F[0, 10]((F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))))) ∧ (F[0, 10]((F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0)))) ∧ (F[0, 10]((F[0, 10](x > 0)) ∧ (F[0, 10](x > 0))))))))))"
16,"F[0, 10](G[0, 10](F[0, 10](G[0, 10](x > 0))))"
17,"F[0, 10](G[0, 10](F[0, 10](G[0, 10](F[0, 10](G[0, 10](x > 0))))))"
18,"F[0, 10](G[0, 10](F[0, 10](G[0, 10](F[0, 10](G[0, 10](F[0, 10](G[0, 10](F[0, 10](G[0, 10](x > 0))))))))))"
19,"((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))"
20,"(((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))) U[0, 10] (((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0)))"
21,"(((((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))) U[0, 10] (((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0)))) U[0, 10] ((((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))) U[0, 10] (((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))))) U[0, 10] (((((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))) U[0, 10] (((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0)))) U[0, 10] ((((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0))) U[0, 10] (((x > 0) U[0, 10] (x > 0)) U[0, 10] ((x > 0) U[0, 10] (x > 0)))))"
